Date,ShareLink,ShareCommentary,SharedURL,MediaURL,Visibility
2022-09-10 05:02:45,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A12057217-6974230663046594560,"Acing Apache Spark Senario-based Question Series 3 using Pyspark Dataframes""
""""
""Calculating the salary credit of each employee with their attendance using Pyspark""
""""
""""
""https://lnkd.in/gvNN-dkY""
""""
""#python #linkedinfamily #community #pythonforeverybody #python #pythonprogramminglanguage Python Software Foundation Python Development Group #datamarias #datamarians DataMarias #development #software #saiwritings #linkedin #databricks #sparkbyexamples""
""#pyspark #spark #etl #bigdata #bigdataengineer #PySpark #Python #Programming #Spark #BigData #DataEngeering #ETL #saiwritings #mediumwriters #blogger #medium""
""""
""Kindly do follow back my medium profile too...""
""""
""https://lnkd.in/gsK_hQqJ""
""""
""Sources:- sparkbyexamples,databricks",,,MEMBER_NETWORK
2022-09-10 05:02:19,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6974230553541693440,"Acing Apache Spark Senario-based Question Series 3 using Pyspark Dataframes""
""""
""Calculating the salary credit of each employee with their attendance using Pyspark""
""""
""""
""https://lnkd.in/gvNN-dkY""
""""
""#python #linkedinfamily #community #pythonforeverybody #python #pythonprogramminglanguage Python Software Foundation Python Development Group #datamarias #datamarians DataMarias #development #software #saiwritings #linkedin #databricks #sparkbyexamples""
""#pyspark #spark #etl #bigdata #bigdataengineer #PySpark #Python #Programming #Spark #BigData #DataEngeering #ETL #saiwritings #mediumwriters #blogger #medium""
""""
""Kindly do follow back my medium profile too...""
""""
""https://lnkd.in/gsK_hQqJ""
""""
""Sources:- sparkbyexamples,databricks",,,MEMBER_NETWORK
2022-08-28 11:17:36,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6969613955065409537,"Flattening the structured nested CSV File with columns renaming with various approaches and their statistics""
""""
""embed post from Mitchell van Rijkom ""
""""
""#python #linkedinfamily #community #pythonforeverybody #python #pythonprogramminglanguage Python Software Foundation Python Development Group #datamarias #datamarians DataMarias #development #software #saiwritings #linkedin #databricks #sparkbyexamples""
""#pyspark #spark #etl #bigdata #bigdataengineer #PySpark #Python #Programming #Spark #BigData #DataEngeering #ETL #saiwritings #mediumwriters #blogger #medium ""
""""
""Kindly do follow back my medium profile too...""
""https://lnkd.in/gsK_hQqJ""
""""
""Sources:- sparkbyexamples,databricks",,,MEMBER_NETWORK
2022-08-10 15:45:24,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A12057217-6963158370212073472,"After long time back to my LinkedIn community""
""""
""Find the biggest Consecutive series from the given binary code using Python Series-2?""
""""
""#python #linkedinfamily #community #pythonforeverybody #python #pythonprogramminglanguage Python Software Foundation Python Development Group #datamarias #datamarians DataMarias #development #software #saiwritings #linkedin ""
""""
""Sources:- Stackoverflow,LinkedIn Questions",,,MEMBER_NETWORK
2022-08-10 15:45:10,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6963158310468403200,"After long time ... back to my LinkedIn Family""
""""
""Find the biggest Consecutive series from the given binary code using Python Series-2?""
""""
""#python #linkedinfamily #community #pythonforeverybody #python #pythonprogramminglanguage Python Software Foundation Python Development Group #datamarias #datamarians DataMarias #development #software #saiwritings #linkedin #givingbacktothecommunity #givingback ""
""""
""Sources:- Stackoverflow,LinkedIn Questions",,,MEMBER_NETWORK
2022-04-14 17:57:56,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6920429954509791232,"#android #google #fun #play""
""#saiwritings DataMarias #datamarias""
"" ",,,MEMBER_NETWORK
2022-04-12 05:37:55,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6919518946702368768,"SQL Interview Questions Series-3""
"" ""
""We need to find out the average rolling Sum""
""""
""Note: if any change in question will discuss in comments .. as we cant edit the shared post..""
""#sql #interviewprep #sqlinterviewquestions""
""#interview #interviewpreparation #sqldeveloper #plsql""
""#datamarias #datamarians DataMarias #saiwritings",,,MEMBER_NETWORK
2022-04-09 10:12:01,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6918500762297790464,"Hi LinkedIn,""
""Python interview questions Series-2""
""Q:-Find the missing digits in the number""
""""
""#python #linkedinfamily  #community  #pythonforeverybody #python #pythonprogramminglanguage #interview #linkedin #pythoncoding #pythonlearning #python3 #pythondevelopers #pythontraining ""
""Python Software Foundation Python Development Group #datamarias #datamarians DataMarias #development #software #saiwritings",,,MEMBER_NETWORK
2022-04-07 17:28:52,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6917885925003866112,"Python interview questions Series-1 checking the probability of a given string whether it can form a palindrome or not""
""""
""#python #linkedinfamily  #community  #pythonforeverybody #python #pythonprogramminglanguage""
""Python Software Foundation Python Development Group #datamarias #datamarians DataMarias #development #software #saiwritings",,,MEMBER_NETWORK
2022-04-07 10:41:45,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6917783468500275200,"Hi Linkdlken family,""
""""
""Today I marks my 6k LinkedIn  followers""
""""
""Some memories...🤝 hope this continues...""
""#memoriesforlife #memories ""
"" #linkedin #datamarias DataMarias  LinkedIn   #linkedinfamily #linkedinposts""
""#linkedincreators  #linkedincreator ",,,MEMBER_NETWORK
2022-04-07 06:30:56,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6917720348310335488,"Hi Team,""
""#linkedinfamily""
""#community #data ""
""This time we are dealing with  Dataframes  using UDF'S""
""""
""https://lnkd.in/gBzGx_Jh""
""""
""Kindly go through the reading and let me know your suggestions..🙏""
""""
""#dataframes #pyspark #databricks #apachespark #python    Data Driven Community Databricks JustEnough Spark #dataandanalytics  #dataengineering Data Driven Community #analyticsengineering""
""#datamarias #datamarians DataMarias #saiwritings",,,MEMBER_NETWORK
2022-03-31 16:59:21,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6915341780087431168," ""
""#financialmarket #budget #budgeting #taxes #financialburden #audit #taxalert""
""#taxday #tax #taxpayers #taxpayer ""
""#saiwritings ",,,MEMBER_NETWORK
2022-03-18 01:54:39,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6910403061525991424,I just earned a skill badge for Python (Programming Language)! Who's next? See how you do on a #LinkedInSkillAssessment. ,,,MEMBER_NETWORK
2022-03-05 17:21:40,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6905925310563393537,"Seeing success in others with some contribution...is really a overwhelmed... conception...""
"" #success #eygds #eygdsconsulting #help #contribution #datamarias ",,,MEMBER_NETWORK
2022-02-27 16:46:35,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6903742157795254272,"SQL Interview Questions Series-2""
""""
""Need to get the weight of the person who entry in the elevtor makes maximum weight to the elevator""
""condition:- elevetor weight - 200 kg""
""i/p""
""name,order,weight""
""a,1,70""
""b,2,40""
""c,3,60""
""d,4,20""
""e,5,30""
""""
""o/p""
""name,order,weight""
""d,4,20""
""""
""By the way What's the question name?""
""""
""Note: if any change in question will discuss in comments .. as we cant edit the shared post..""
""#sql #interviewprep #sqlinterviewquestions""
""#interview #interviewpreparation #sqldeveloper #plsql""
""#datamarias #datamarians DataMarias",,,MEMBER_NETWORK
2022-02-27 02:44:11,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6903530157915688960,"Generally civilians when form a queue it may be for withdrawal of money from respective ATMs or in grocery store or at entertainment parks ""
""""
""These are the ones in the queue to collect the weapons for the sake of their  nation....""
""""
""Currently Civilians wandering in the streets of Ukraine are  not those abandoned people or homeless people nor people who are in search of bread and butter....but they are in  queue to collect the weapons to save their own nation..🇺🇦💪❤️""
""""
""My grandfather use to say about kargil war days...but I'm still not able to digest that we were seeing the war in this 21st century.🇮🇳""
""""
""I'm not in support of either of them in conflict of interests.""
""""
""But ultimately peace should be restored""
""""
""Hope things come to normal🙏""
""""
""Ukraine strong hearts❤️🇺🇦""
""""
""""
""https://lnkd.in/g9J8Q_Vd""
"" #people #peace #ukrainecrisis #ukraine #russiainvadedukraine #russia #russianaggression #russiaukraine #stopwar #ukrainerussiawar ",,,MEMBER_NETWORK
2022-02-25 07:40:58,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6902880071959375873,"It gives immense Pleasure guiding  people...""
""""
""Note! No Advertising""
"" #inspiration :""
""#inspirationalleader ""
""Deepak Goyal""
""Deepanshu Kalra""
""Suraz Ghimire""
""Ashutosh Kumar ""
""DataMarias""
""#datamarias #datamarians""
""""
""""
""#linkedin  #linkedinfamily #givingbacktothecommunity  #learning #learningandevelopment",,,MEMBER_NETWORK
2022-02-24 17:29:57,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6902665904329760770,#linkedin #linkedinposts #linkedinhelp,,,MEMBER_NETWORK
2022-02-23 11:39:02,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6902215207867822080,"Apache Spark RDD Senario Based Interview Questions Series-2 using PySpark.""
""""
""https://lnkd.in/gDXDK3RA""
""""
""Please go through the reading and let me know your suggestions...""
""Question Reference :- Soumyadeep Chakraborty""
""#pyspark #rdd #interviewprep #apachespark #acing #interviewquestions #python #interview #datamarias DataMarias #Dataframes #datamarians",,,MEMBER_NETWORK
2022-02-20 17:23:31,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6901214734599757824,"A Very Happy Birthday to Python Turning to 31!.........................""
""""
""A small Gratitude post towards Python & Python Community Spreading the love of Python to all my LinkedIn family.""
""""
""https://lnkd.in/gryzBpvJ""
""""
""#python #linkedinfamily #love #gratitude #community  #celebration #pythonforeverybody #python #pythonprogramminglanguage ""
""Python Software Foundation Python Development Group #datamarias #datamarians DataMarias #development #software",,,MEMBER_NETWORK
2022-02-15 12:43:31,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6899332334030852096,"SQL Interview Questions Series-1""
""Team,""
"" One of the interview question Checking the sequence number minimum and maximum number for  each partition in sequence.""
""""
""By the way What's the question name?""
""""
""Note: if any change in question will discuss in comments .. as we cant  edit the shared post..""
"" #sql #interviewprep ""
""#interview #interviewpreparation #sqldeveloper #plsql",,,MEMBER_NETWORK
2022-02-13 12:48:21,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6898608770667163648,"Last week had my first webinar with  students helping them to understand the importance of Data  & AI Engineering current market trends ..""
""""
""Vandana Dabass ""
""Gangagroupof Institutions  ""
""DataMarias ""
""""
""#inspiration #inspiringleadership #inspire #inspiring #inspirationalspeaker ""
""Kumari Prerna ""
""Shashank Mishra 🇮🇳  ""
""Vaishnavi MURALIDHAR   ""
""Deepak Goyal    ""
""Azarudeen S     ""
""Priya Vajpeyi     ""
""Sachin Mittal  ""
""""
""and more  ....leaders""
""""
""Overwhelmed with response hope yet more to come...""
""""
""Thank you everyone who helped me to do this ..""
""""
""#givingbacktosociety  #ai #dataandanalytics #dataengineering #data #aiforall #python #pythonprogramming #pythonjobs #webinar #thankyou #engineering #students #help #datajobs #market #informationtechnology #datamarias #datamarians #cloud #aws #bigdata #azurecloud #gcp ""
""""
""""
""do follow back for my updates on interview preparation blogs and questions""
""""
""#interviewpreparation #blogs #interview ",,,MEMBER_NETWORK
2022-02-03 00:57:01,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6894805883163942912,"#pushpamemes #pushpa""
""""
""Just following the pushpa trend.... common debgugger tool for all 🤣🤣",,,MEMBER_NETWORK
2022-01-07 17:10:55,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6885266496935862272,"Hi Team,""
""#linkedinfamily ""
""""
""This  time we are dealing with some functions in Dataframes collect_list() & collect_set()""
""""
""Kindly go through the reading and let me know your suggestions..🙏""
""""
""#dataframes #pyspark #databricks #apachespark #data Data Driven Community Databricks JustEnough Spark #dataandanalytics #dataengineering Data, AI & Analytics #analyticsengineering ",,,MEMBER_NETWORK
2022-01-06 12:05:11,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6884827170716430336,"#fresherscareer #freshersjobs #fresheropenings #freshers ""
""#fake #jobhelp #jobs #jobandcareers ""
""#advice #money #job ""
""Advice ...if any one ...any mail asking for single penny ...for job purpose... then it's definitely  fake... Please don't put your hard earned money for  fake things...""
"" fresher job times...",,,MEMBER_NETWORK
2022-01-05 13:17:22,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6884482948616351744,"#amazon sale..""
""""
""https://lnkd.in/gqac7sUv""
""""
""just for RS 999/- only...grab the offer  only 3 hrs left ..""
""""
""#airdopes boAt  #bluetooth ""
""""
""Out of the box content.... useful  gadget for  professionals #professionals #wfh  #workingprofessionals  #work #workday ",,,MEMBER_NETWORK
2022-01-01 20:29:57,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6883142259248902144,"Apache Spark RDD Senario Based Interview Questions Series-1 using PySpark.""
""Please go through the reading and let me know your suggestions...""
""#pyspark #rdd #interviewprep #apachespark #acing #interviewquestions #python #interview ""
""""
""New Year.... New Connections.... #connections""
""""
""Question reference Azarudeen S ",,,MEMBER_NETWORK
2021-12-22 07:16:58,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6879318821816160256,"Buzz in the market ...as the govt is going to introduce the introduce labour code bill.""
""Which will be four days working week and three days week off...""
""But asking for 12 hours work per day...""
""is this making any sense??..how this exactly helps the IT employees... as per my opinion mostly #work depends on timelines , rather than time of work....""
""""
""#fourdayweek #fourdayweek #labour #goverment #bill #jobs #workforce #workculture #workexperience #itjobs ",,,MEMBER_NETWORK
2021-12-19 04:01:38,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6878182499797864448,"Apache Spark Performance Optimization using Adaptive Query Execution(AQE) # with PySpark ..Please go through the reading and let me know your suggestions..""
""""
""#apachespark  #bigdata #pyspark""
""#datamarias #saiwritings DataMarias ",,,MEMBER_NETWORK
2021-12-18 02:03:44,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6877790441333514240,"#happyholidays2021 #happyholidays ""
""thoughts for  this type of trend...??",,,MEMBER_NETWORK
2021-12-17 16:41:33,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6877648964406136832,"#EY #eygdsconsulting  #JAVA #bigdata #dataengineering  #devops #azure #aws #azuredataengineer  #cloud #clouddevops""
""#angular  #react #etl #informatica  #hirings #jobs #panindia #microservices #datascience #etltesting #sap #hadoop #spark #pyspark #datajobs #cybersecurity ""
""Hiring for EY GDS:""
""** please dont send resumes if applied in last 6 months system will not accept *""
""""
""Immediate to 30 days highly recommend""
""""
""Below 4+ please don't send resumes🙏🙏""
""""
""Exp: 4+ to 12 ""
""""
""Loc: pan India u can discuss in interview time""
""""
""Data Engineer- (Azure/AWS / Hadoop / Spark),Data Engineer- Spark, Python,Cloud Data Engineer(AWS),Snowflake,Informatica - Enterprise Application,ETL / Data Governance,TL developer,ETL Testing,ETL-SSIS - Enterprise Application,Data Modelling-,SAP Data Migration Consultant,Data Architect - Manager,Data And Analytics - Data Science""
""""
""""
""Java Full Stack Engineer - (ReactJS) / Java - Enterprise Application / Java Angular / Java Developer (EIS) / Full-Stack Java Developer / Java Developer / Cloud Java Fullstack Engineer_GDSF04 / Cloud Java Microservice Engineer_GDSF04""
""""
""Cloud DevOps(AWS/Azure)/DevOps Engineer/DB Admin; Application Project Engineering	ASMS_DevOps; DB Admin; Application Project Engineering	""
""""
""****** FORMAT ****""
""""
""First Name	""
""Last Name	""
""Email	""
""Phone	""
""Country/Region	""
""""
""""
""connect8ram@gmail.com",,,MEMBER_NETWORK
2021-12-11 08:33:15,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6875351753127288832,#wfh #workfromehome #workfromanywhere #hybridmodel  #permanentwfh #workfromoffice,,,MEMBER_NETWORK
2021-11-13 12:31:51,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6865264937934041088,"Do you know how much brand ambassadors Alia and kartina Kaif profited from #nykaa recent ipo listings...have a look...👇""
"" #nykaaipo #nykaa #ipo #sharemarket #profits #trading #stockmarkets ..""
""#credit #marketingmind ",,,MEMBER_NETWORK
2021-11-01 17:11:28,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6860986648755236864,"Some learnings for the day!.....""
""#learnings #databricks #dataengineering #deltalake #apachespark",,,MEMBER_NETWORK
2021-10-24 01:12:06,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6857846116348649472,"As Crypto markets are back to Normal... creating a buzz again ...after a longtime ..""
""#cryptocurrency #blockchain #blockchaintechnology #cryptotrading #cryptoassets #blockchaincommunity ",,,MEMBER_NETWORK
2021-09-30 12:19:29,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6849316757111377922,useful...piece,,,MEMBER_NETWORK
2021-09-24 13:51:17,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6847165532941123584,"It gives an  immense pleasure to showcase when an Organization Recognizes..""
""Thanks for  the support #supportive  Ajith Sasidharan Krishnakumar Ramachandran.""
""#leadership Sreeja R Beena Parameswaran Nair Nishanth Sarma Bavish Balakrishnan""
""#team Vinu Chakravarthy Sushmita Sen Ramya Sree Molabanti ANNA DAVID""
""#eygdsconsulting #eygds #ey #eyconsulting",,,MEMBER_NETWORK
2021-07-01 09:32:31,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6816297444750454784,"Hi All,""
""""
""Microsoft is giving PDF Manager App for free ..!!!!! Grabb it right now ...""
""""
"" Valid upto July 3rd.""
""""
""Get it from Microsoft Store..""
""""
""Note: Windows 10 and above only Supportive...",,,MEMBER_NETWORK
2021-06-06 08:53:06,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6807227828233363456,PRAMOD AGRAWAL ,,,MEMBER_NETWORK
2021-04-27 05:38:38,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6792683373912457216,"Simple sentimental analysis deployed..""
""""
""Please watch the video...and try to check the link to determine whether the given text is positive or negative... ""
""""
""API link :-""
"" ""
""https://lnkd.in/dxq9Kmtsis-using-streamlit/main/app.py""
""""
""""
""https://lnkd.in/dbWsiPj""
""""
""https://youtu.be/8Vhzm23uRzs""
""""
""#machinelearningdeployment #machinelearning  #streamlit #sentimentalanalysis",https://www.youtube.com/watch?v=8Vhzm23uRzs,https://i.ytimg.com/vi/8Vhzm23uRzs/sddefault.jpg,MEMBER_NETWORK
2021-02-22 07:19:14,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6769515867232313344,"New journey...Step up ladder...""
""""
""#ey #eygds",,,MEMBER_NETWORK
2021-02-07 11:10:47,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6764138323628838914,"First post on Medium...Please check it out....""
""""
""https://lnkd.in/dxbPqTA",https://sairamdgr8.medium.com/docker-installation-on-windows-8-8-1-9a1b3616c281,https://miro.medium.com/max/1200/1*lyQCEqs9_6oh8l83tysR5Q.png,MEMBER_NETWORK
2021-01-05 06:00:58,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6752101553852686336,"I support Pradeep Poonia   for Tommorow Battle to detain Cattle herd ...""
""""
""Please like and comment for better reach....🤝",,,MEMBER_NETWORK
2020-09-26 08:40:45,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6715540588399218688,"#ML #FeatureExtraction #NLP# #Python""
""#Resume_Skill_pick_Automation""
""https://lnkd.in/diy8U8W""
""""
""",https://youtu.be/YAO7kQ3tGk0,https://i.ytimg.com/vi/YAO7kQ3tGk0/maxresdefault.jpg,MEMBER_NETWORK
2020-09-26 08:40:45,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6715540588399218688,"#ML #FeatureExtraction #NLP# #Python""
""#Resume_Skill_pick_Automation""
""https://lnkd.in/diy8U8W""
""""
""",https://youtu.be/YAO7kQ3tGk0,https://i.ytimg.com/vi/YAO7kQ3tGk0/mqdefault.jpg,MEMBER_NETWORK
2020-09-26 08:40:45,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6715540588399218688,"#ML #FeatureExtraction #NLP# #Python""
""#Resume_Skill_pick_Automation""
""https://lnkd.in/diy8U8W""
""""
""",https://youtu.be/YAO7kQ3tGk0,https://i.ytimg.com/vi/YAO7kQ3tGk0/hqdefault.jpg,MEMBER_NETWORK
2020-09-26 08:40:45,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6715540588399218688,"#ML #FeatureExtraction #NLP# #Python""
""#Resume_Skill_pick_Automation""
""https://lnkd.in/diy8U8W""
""""
""",https://youtu.be/YAO7kQ3tGk0,https://i.ytimg.com/vi/YAO7kQ3tGk0/default.jpg,MEMBER_NETWORK
2020-09-26 08:40:45,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6715540588399218688,"#ML #FeatureExtraction #NLP# #Python""
""#Resume_Skill_pick_Automation""
""https://lnkd.in/diy8U8W""
""""
""",https://youtu.be/YAO7kQ3tGk0,https://i.ytimg.com/vi/YAO7kQ3tGk0/sddefault.jpg,MEMBER_NETWORK
2020-09-18 16:53:04,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6712765381972492288,"https://lnkd.in/gt5YAvU ""
""#ML##Flask##DataScience##Python##CloudDeployment##Krishnaik _/\_",,,MEMBER_NETWORK
2020-09-18 11:52:46,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6712689811452375040,"#ML##Flask##DataScience##Python##CloudDeployment""
""##credits Kirsh",,,MEMBER_NETWORK
2020-08-26 17:20:30,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6704437364732911616,#ML #objectdetection #datascience ,https://www.youtube.com/watch?v=NbxsUnxQ8wQ&feature=share,https://i.ytimg.com/vi/NbxsUnxQ8wQ/mqdefault.jpg,MEMBER_NETWORK
2020-08-26 17:20:30,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A6704437364732911616,#ML #objectdetection #datascience ,https://www.youtube.com/watch?v=NbxsUnxQ8wQ&feature=share,https://i.ytimg.com/vi/NbxsUnxQ8wQ/sddefault.jpg,MEMBER_NETWORK
